map_name,seed,num_agents,solver,task_frequency,task_num,solved,service_time,makespan,comp_time
warehouse.map,43,10,PIBT,0.2,500,1,29.804,2622,5
warehouse.map,80,10,PIBT,0.2,500,1,31.472,2517,5
warehouse.map,81,10,PIBT,0.2,500,1,30.444,2548,6
warehouse.map,82,10,PIBT,0.2,500,1,30.098,2616,5
warehouse.map,83,10,PIBT,0.2,500,1,29.41,2534,5
warehouse.map,92,10,PIBT,0.2,500,1,29.836,2615,5
warehouse.map,93,10,PIBT,0.2,500,1,31.12,2557,5
warehouse.map,94,10,PIBT,0.2,500,1,30.604,2649,6
warehouse.map,95,10,PIBT,0.2,500,1,32.008,2545,6
warehouse.map,44,10,PIBT,0.2,500,1,30.602,2627,5
warehouse.map,45,10,PIBT,0.2,500,1,30.918,2429,6
warehouse.map,46,10,PIBT,0.2,500,1,30.644,2502,5
warehouse.map,47,10,PIBT,0.2,500,1,29.806,2670,6
warehouse.map,96,10,PIBT,0.2,500,1,30.626,2559,5
warehouse.map,97,10,PIBT,0.2,500,1,30.314,2725,6
warehouse.map,98,10,PIBT,0.2,500,1,29.224,2549,5
warehouse.map,99,10,PIBT,0.2,500,1,31.174,2553,5
warehouse.map,28,20,PIBT,0.2,500,1,25.868,2453,10
warehouse.map,29,20,PIBT,0.2,500,1,25.59,2600,10
warehouse.map,30,20,PIBT,0.2,500,1,25.36,2600,10
warehouse.map,31,20,PIBT,0.2,500,1,26.002,2627,10
warehouse.map,16,20,PIBT,0.2,500,1,25.962,2542,9
warehouse.map,17,20,PIBT,0.2,500,1,26.302,2492,9
warehouse.map,18,20,PIBT,0.2,500,1,25.738,2439,9
warehouse.map,19,20,PIBT,0.2,500,1,26.668,2549,10
warehouse.map,12,20,PIBT,0.2,500,1,25.57,2589,10
warehouse.map,13,20,PIBT,0.2,500,1,25.234,2436,9
warehouse.map,14,20,PIBT,0.2,500,1,26.626,2538,10
warehouse.map,15,20,PIBT,0.2,500,1,26.796,2562,9
warehouse.map,20,20,PIBT,0.2,500,1,25.092,2530,9
warehouse.map,21,20,PIBT,0.2,500,1,25.724,2569,9
warehouse.map,22,20,PIBT,0.2,500,1,25.388,2598,9
warehouse.map,23,20,PIBT,0.2,500,1,25.202,2580,9
warehouse.map,36,20,PIBT,0.2,500,1,25.946,2544,9
warehouse.map,37,20,PIBT,0.2,500,1,25.736,2535,9
warehouse.map,38,20,PIBT,0.2,500,1,25.312,2479,9
warehouse.map,39,20,PIBT,0.2,500,1,25.2,2625,10
warehouse.map,0,20,PIBT,0.2,500,1,25.618,2386,9
warehouse.map,1,20,PIBT,0.2,500,1,26.296,2634,10
warehouse.map,2,20,PIBT,0.2,500,1,26.278,2704,10
warehouse.map,3,20,PIBT,0.2,500,1,26.506,2558,10
warehouse.map,40,20,PIBT,0.2,500,1,26.044,2470,9
warehouse.map,41,20,PIBT,0.2,500,1,25.57,2509,10
warehouse.map,42,20,PIBT,0.2,500,1,26.806,2420,9
warehouse.map,43,20,PIBT,0.2,500,1,26.05,2600,10
warehouse.map,4,20,PIBT,0.2,500,1,26.566,2498,9
warehouse.map,5,20,PIBT,0.2,500,1,26.12,2569,9
warehouse.map,6,20,PIBT,0.2,500,1,25.698,2549,10
warehouse.map,7,20,PIBT,0.2,500,1,25.368,2507,10
warehouse.map,52,20,PIBT,0.2,500,1,25.152,2425,9
warehouse.map,53,20,PIBT,0.2,500,1,26.038,2480,9
warehouse.map,54,20,PIBT,0.2,500,1,25.448,2645,9
warehouse.map,55,20,PIBT,0.2,500,1,26.316,2599,10
warehouse.map,80,20,PIBT,0.2,500,1,26.092,2402,9
warehouse.map,81,20,PIBT,0.2,500,1,25.838,2471,8
warehouse.map,82,20,PIBT,0.2,500,1,26.26,2525,9
warehouse.map,83,20,PIBT,0.2,500,1,25.936,2453,9
warehouse.map,32,20,PIBT,0.2,500,1,25.81,2411,9
warehouse.map,33,20,PIBT,0.2,500,1,25.736,2585,10
warehouse.map,34,20,PIBT,0.2,500,1,25.92,2526,10
warehouse.map,35,20,PIBT,0.2,500,1,26.178,2697,10
warehouse.map,24,20,PIBT,0.2,500,1,26.004,2519,9
warehouse.map,25,20,PIBT,0.2,500,1,25.578,2738,9
warehouse.map,26,20,PIBT,0.2,500,1,26.582,2593,10
warehouse.map,27,20,PIBT,0.2,500,1,26.158,2430,9
warehouse.map,60,20,PIBT,0.2,500,1,25.756,2502,9
warehouse.map,61,20,PIBT,0.2,500,1,25.942,2482,9
warehouse.map,62,20,PIBT,0.2,500,1,25.12,2523,9
warehouse.map,63,20,PIBT,0.2,500,1,25.186,2341,8
warehouse.map,64,20,PIBT,0.2,500,1,26.428,2433,9
warehouse.map,65,20,PIBT,0.2,500,1,25.13,2577,9
warehouse.map,66,20,PIBT,0.2,500,1,26.552,2549,9
warehouse.map,67,20,PIBT,0.2,500,1,25.436,2507,9
warehouse.map,56,20,PIBT,0.2,500,1,26.738,2524,10
warehouse.map,57,20,PIBT,0.2,500,1,26.672,2411,9
warehouse.map,58,20,PIBT,0.2,500,1,25.442,2575,9
warehouse.map,59,20,PIBT,0.2,500,1,25.712,2477,9
warehouse.map,44,20,PIBT,0.2,500,1,26.294,2534,9
warehouse.map,45,20,PIBT,0.2,500,1,26.296,2752,10
warehouse.map,46,20,PIBT,0.2,500,1,26.266,2730,10
warehouse.map,47,20,PIBT,0.2,500,1,26.348,2611,9
warehouse.map,8,20,PIBT,0.2,500,1,26.11,2488,9
warehouse.map,9,20,PIBT,0.2,500,1,25.726,2458,9
